Task,SubTask,Node,Time
v1,k1,n0,0
v1,k2,n1,1
v1,k3,n2,2
v1,k4,n0,3
v1,k5,n1,4
v1,k6,n2,5
v1,k7,n0,6
v1,k8,n1,7
v1,k9,n2,8
v1,k10,n0,9
v1,k11,n1,10
v1,k12,n2,11
v1,k13,n0,12
v1,k14,n1,13
v1,k15,n2,14
v1,k16,n0,15
v1,k17,n1,16
v1,k18,n2,17
v1,k19,n0,18
v1,k20,n1,19
v1,k21,n2,20
v1,k22,n0,21
v1,k23,n1,22
v1,k24,n2,23
v1,k25,n0,24
v1,k26,n1,25
v1,k27,n2,26
v1,k28,n0,27
v1,k29,n1,28
v1,k30,n2,29
v1,k31,n0,30
v1,k32,n1,31
v1,k33,n2,32
v1,k34,n0,33
v1,k35,n1,34
v1,k36,n2,35
v1,k37,n0,36
v1,k38,n1,37
v1,k39,n2,38
v1,k40,n0,39
v1,k41,n1,40
v1,k42,n2,41
v1,k43,n0,42
v1,k44,n1,43
v1,k45,n2,44
v1,k46,n0,45
v1,k47,n1,46
v1,k48,n2,47
v1,k49,n0,48
v1,k50,n1,49
v1,k51,n2,50
v1,k52,n0,51
v1,k53,n1,52
v1,k54,n2,53
v1,k55,n0,54
v1,k56,n1,55
v1,k57,n2,56
v1,k58,n0,57
v1,k59,n1,58
v1,k60,n2,59
v1,k61,n0,60
v1,k62,n1,61
v1,k63,n2,62
v1,k64,n0,63
v1,k65,n1,64
v1,k66,n2,65
v1,k67,n0,66
v1,k68,n1,67
v1,k69,n2,68
v1,k70,n0,69
v1,k71,n1,70
v1,k72,n2,71
v1,k73,n0,72
v1,k74,n1,73
v1,k75,n2,74
v1,k76,n0,75
v1,k77,n1,76
v1,k78,n2,77
v1,k79,n0,78
v1,k80,n1,79
v1,k81,n2,80
v1,k82,n0,81
v1,k83,n1,82
v1,k84,n2,83
v1,k85,n0,84
v1,k86,n1,85
v1,k87,n2,86
v1,k88,n0,87
v1,k89,n1,88
v1,k90,n2,89
v1,k91,n0,90
v1,k92,n1,91
v1,k93,n2,92
v1,k94,n0,93
v1,k95,n1,94
v1,k96,n2,95
v1,k97,n0,96
v1,k98,n1,97
v1,k99,n2,98
v1,k100,n0,99
